DOI,CodeAvailability
10.1038/sdata201746,MISSING
10.1038/sdata201752,MISSING
10.1038/sdata201753,MISSING
10.1038/sdata201756,MISSING
10.1038/sdata201755,MISSING
10.1038/sdata201754,MISSING
10.1038/sdata201744,MISSING
10.1038/sdata201761,MISSING
10.1038/sdata201757,MISSING
10.1038/sdata201760,MISSING
10.1038/sdata201770,MISSING
10.1038/sdata201766,MISSING
10.1038/sdata201764,MISSING
10.1038/sdata201765,MISSING
10.1038/sdata201769,MISSING
10.1038/sdata201751,MISSING
10.1038/sdata201763,MISSING
10.1038/sdata201768,MISSING
10.1038/sdata201773,MISSING
10.1038/sdata201772,MISSING
10.1038/sdata201774,MISSING
10.1038/sdata201776,MISSING
10.1038/sdata201759,MISSING
10.1038/sdata201775,MISSING
10.1038/sdata201767,MISSING
10.1038/sdata201778,MISSING
10.1038/sdata201781,MISSING
10.1038/sdata201779,MISSING
10.1038/sdata201783,MISSING
10.1038/sdata201787,MISSING
10.1038/sdata201785,MISSING
10.1038/sdata201777,MISSING
10.1038/sdata201788,MISSING
10.1038/sdata201790,MISSING
10.1038/sdata201784,MISSING
10.1038/sdata201789,MISSING
10.1038/sdata201791,MISSING
10.1038/sdata201792,MISSING
10.1038/sdata201795,MISSING
10.1038/sdata201796,MISSING
10.1038/sdata201794,MISSING
10.1038/sdata201797,MISSING
10.1038/sdata201793,MISSING
10.1038/sdata2017100,MISSING
10.1038/sdata2017101,MISSING
10.1038/sdata201798,MISSING
10.1038/sdata2017110,MISSING
10.1038/sdata2017108,MISSING
10.1038/sdata2017111,MISSING
10.1038/sdata2017103,MISSING
10.1038/sdata2017116,MISSING
10.1038/sdata2017109,MISSING
10.1038/sdata2017118,MISSING
10.1038/sdata2017112,MISSING
10.1038/sdata2017106,MISSING
10.1038/sdata2017105,MISSING
10.1038/sdata2017107,MISSING
10.1038/sdata2017123,MISSING
10.1038/sdata2017117,MISSING
10.1038/sdata2017120,MISSING
10.1038/sdata2017121,MISSING
10.1038/sdata2017122,MISSING
10.1038/sdata2017128,MISSING
10.1038/sdata2017104,MISSING
10.1038/sdata2017129,MISSING
10.1038/sdata2017130,MISSING
10.1038/sdata2017126,MISSING
10.1038/sdata2017127,MISSING
10.1038/sdata2017132,MISSING
10.1038/sdata2017125,MISSING
10.1038/sdata2017124,MISSING
10.1038/sdata2017115,MISSING
10.1038/sdata2017136,MISSING
10.1038/sdata2017134,MISSING
10.1038/sdata2017137,MISSING
10.1038/sdata2017141,MISSING
10.1038/sdata2017143,MISSING
10.1038/sdata2017142,MISSING
10.1038/sdata2017145,MISSING
10.1038/sdata2017147,MISSING
10.1038/sdata2017139,MISSING
10.1038/sdata2017149,MISSING
10.1038/sdata2017151,MISSING
10.1038/sdata2017135,MISSING
10.1038/sdata2017148,MISSING
10.1038/sdata2017144,MISSING
10.1038/sdata2017140,MISSING
10.1038/sdata2017155,MISSING
10.1038/sdata2017152,MISSING
10.1038/sdata2017153,MISSING
10.1038/sdata2017150,MISSING
10.1038/sdata2017156,MISSING
10.1038/sdata2017161,MISSING
10.1038/sdata2017146,MISSING
10.1038/sdata2017157,MISSING
10.1038/sdata2017165,MISSING
10.1038/sdata2017162,MISSING
10.1038/sdata2017167,MISSING
10.1038/sdata2017163,MISSING
10.1038/sdata2017159,MISSING
10.1038/sdata2017160,MISSING
10.1038/sdata2017164,MISSING
10.1038/sdata2017168,MISSING
10.1038/sdata2017166,MISSING
10.1038/sdata2017169,MISSING
10.1038/sdata2017172,MISSING
10.1038/sdata2017170,MISSING
10.1038/sdata2017171,MISSING
10.1038/sdata2017175,MISSING
10.1038/sdata2017173,MISSING
10.1038/sdata2017180,MISSING
10.1038/sdata2017176,MISSING
10.1038/sdata2017178,MISSING
10.1038/sdata2017185,MISSING
10.1038/sdata2017188,MISSING
10.1038/sdata2017186,MISSING
10.1038/sdata2017182,MISSING
10.1038/sdata2017189,MISSING
10.1038/sdata2017187,MISSING
10.1038/sdata2017177,MISSING
10.1038/sdata2017193,MISSING
10.1038/sdata2017195,MISSING
10.1038/sdata2017194,MISSING
10.1038/sdata2017184,MISSING
10.1038/sdata2017192,MISSING
10.1038/sdata2017181,MISSING
10.1038/sdata2017179,MISSING
10.1038/sdata2017190,MISSING
10.1038/sdata2017198,MISSING
10.1038/sdata2017196,MISSING
10.1038/sdata2017191,MISSING
10.1038/sdata2017199,MISSING
10.1038/sdata2017200,MISSING
10.1038/sdata2017197,MISSING
10.1038/sdata2017203,MISSING
10.1038/sdata2017201,MISSING
10.1038/sdata2017205,MISSING
10.1038/sdata2017207,MISSING
10.1038/sdata2017204,MISSING
10.1038/sdata2017202,MISSING
10.1038/sdata2017206,MISSING
10.1038/sdata20181,MISSING
10.1038/sdata20185,MISSING
10.1038/sdata20184,MISSING
10.1038/sdata20189,MISSING
10.1038/sdata20183,MISSING
10.1038/sdata201812,MISSING
10.1038/sdata201810,MISSING
10.1038/sdata20188,MISSING
10.1038/sdata201813,MISSING
10.1038/sdata201818,MISSING
10.1038/sdata201816,MISSING
10.1038/sdata201814,MISSING
10.1038/sdata201811,MISSING
10.1038/sdata201819,MISSING
10.1038/sdata201817,MISSING
10.1038/sdata201815,MISSING
10.1038/sdata201823,MISSING
10.1038/sdata20187,MISSING
10.1038/sdata201820,MISSING
10.1038/sdata201824,MISSING
10.1038/sdata201826,MISSING
10.1038/sdata20186,MISSING
10.1038/sdata201833,MISSING
10.1038/sdata201825,MISSING
10.1038/sdata201821,MISSING
10.1038/sdata201830,MISSING
10.1038/sdata201831,MISSING
10.1038/sdata201838,MISSING
10.1038/sdata201835,MISSING
10.1038/sdata201836,MISSING
10.1038/sdata201822,MISSING
10.1038/sdata201828,MISSING
10.1038/sdata201837,MISSING
10.1038/sdata201847,MISSING
10.1038/sdata201846,MISSING
10.1038/sdata201840,MISSING
10.1038/sdata201834,MISSING
10.1038/sdata201843,MISSING
10.1038/sdata201852,MISSING
10.1038/sdata201848,MISSING
10.1038/sdata201844,MISSING
10.1038/sdata201842,MISSING
10.1038/sdata201849,MISSING
10.1038/sdata201853,MISSING
10.1038/sdata201856,MISSING
10.1038/sdata201851,MISSING
10.1038/sdata201859,MISSING
10.1038/sdata201855,MISSING
10.1038/sdata201864,MISSING
10.1038/sdata201862,MISSING
10.1038/sdata201858,MISSING
10.1038/sdata201857,MISSING
10.1038/sdata201854,MISSING
10.1038/sdata201861,MISSING
10.1038/sdata201866,MISSING
10.1038/sdata201860,MISSING
10.1038/sdata201863,MISSING
10.1038/sdata201875,MISSING
10.1038/sdata201873,MISSING
10.1038/sdata201867,MISSING
10.1038/sdata201874,MISSING
10.1038/sdata201868,MISSING
10.1038/sdata201877,MISSING
10.1038/sdata201871,MISSING
10.1038/sdata201865,MISSING
10.1038/sdata201876,MISSING
10.1038/sdata201879,MISSING
10.1038/sdata201885,MISSING
10.1038/sdata201829,MISSING
10.1038/sdata201882,MISSING
10.1038/sdata201872,MISSING
10.1038/sdata201889,MISSING
10.1038/sdata201881,MISSING
10.1038/sdata201884,MISSING
10.1038/sdata201891,MISSING
10.1038/sdata201883,MISSING
10.1038/sdata201869,MISSING
10.1038/sdata201896,MISSING
10.1038/sdata201890,MISSING
10.1038/sdata201886,MISSING
10.1038/sdata201897,MISSING
10.1038/sdata2018100,MISSING
10.1038/sdata201899,MISSING
10.1038/sdata2018102,MISSING
10.1038/sdata201888,MISSING
10.1038/sdata2018101,MISSING
10.1038/sdata201845,MISSING
10.1038/sdata2018103,MISSING
10.1038/sdata2018108,MISSING
10.1038/sdata201893,MISSING
10.1038/sdata2018105,MISSING
10.1038/sdata2018106,MISSING
10.1038/sdata2018104,MISSING
10.1038/sdata2018107,MISSING
10.1038/sdata2018119,MISSING
10.1038/sdata2018117,MISSING
10.1038/sdata2018111,MISSING
10.1038/sdata2018115,MISSING
10.1038/sdata2018123,MISSING
10.1038/sdata2018116,MISSING
10.1038/sdata2018124,MISSING
10.1038/sdata2018120,MISSING
10.1038/sdata2018122,MISSING
10.1038/sdata2018113,MISSING
10.1038/sdata201887,MISSING
10.1038/sdata2018126,MISSING
10.1038/sdata2018112,MISSING
10.1038/sdata2018114,MISSING
10.1038/sdata201880,MISSING
10.1038/sdata2018132,MISSING
10.1038/sdata2018135,MISSING
10.1038/sdata2018133,MISSING
10.1038/sdata2018125,MISSING
10.1038/sdata2018131,MISSING
10.1038/sdata2018127,MISSING
10.1038/sdata2018134,MISSING
10.1038/sdata2018139,MISSING
10.1038/sdata2018129,MISSING
10.1038/sdata2018128,MISSING
10.1038/sdata2018138,MISSING
10.1038/sdata2018130,MISSING
10.1038/sdata2018140,MISSING
10.1038/sdata2018147,MISSING
10.1038/sdata2018136,MISSING
10.1038/sdata2018145,MISSING
10.1038/sdata2018141,MISSING
10.1038/sdata2018148,MISSING
10.1038/sdata2018146,MISSING
10.1038/sdata2018153,MISSING
10.1038/sdata2018149,MISSING
10.1038/sdata2018151,MISSING
10.1038/sdata2018156,MISSING
10.1038/sdata2018150,MISSING
10.1038/sdata2018155,MISSING
10.1038/sdata2018157,MISSING
10.1038/sdata2018142,MISSING
10.1038/sdata2018158,MISSING
10.1038/sdata2018161,MISSING
10.1038/sdata2018163,MISSING
10.1038/sdata2018159,MISSING
10.1038/sdata2018162,MISSING
10.1038/sdata2018169,MISSING
10.1038/sdata2018168,MISSING
10.1038/sdata2018170,MISSING
10.1038/sdata2018166,MISSING
10.1038/sdata2018171,MISSING
10.1038/sdata2018160,MISSING
10.1038/sdata2018167,MISSING
10.1038/sdata2018109,MISSING
10.1038/sdata2018172,MISSING
10.1038/sdata2018165,MISSING
10.1038/sdata2018179,MISSING
10.1038/sdata2018181,MISSING
10.1038/sdata2018177,MISSING
10.1038/sdata2018175,MISSING
10.1038/sdata2018173,MISSING
10.1038/sdata2018176,MISSING
10.1038/sdata2018154,MISSING
10.1038/sdata2018183,MISSING
10.1038/sdata2018180,MISSING
10.1038/sdata2018164,MISSING
10.1038/sdata2018182,MISSING
10.1038/sdata2018178,MISSING
10.1038/sdata2018185,MISSING
10.1038/sdata2018192,MISSING
10.1038/sdata2018174,MISSING
10.1038/sdata2018191,MISSING
10.1038/sdata2018186,MISSING
10.1038/sdata2018187,MISSING
10.1038/sdata2018193,MISSING
10.1038/sdata2018188,MISSING
10.1038/sdata2018184,MISSING
10.1038/sdata2018194,MISSING
10.1038/sdata2018199,MISSING
10.1038/sdata2018201,MISSING
10.1038/sdata2018198,MISSING
10.1038/sdata2018196,MISSING
10.1038/sdata2018195,MISSING
10.1038/sdata2018200,MISSING
10.1038/sdata2018197,MISSING
10.1038/sdata2018189,MISSING
10.1038/sdata2018190,MISSING
10.1038/sdata2018223,MISSING
10.1038/sdata2018202,MISSING
10.1038/sdata2018210,MISSING
10.1038/sdata2018207,MISSING
10.1038/sdata2018212,MISSING
10.1038/sdata2018205,MISSING
10.1038/sdata2018211,MISSING
10.1038/sdata2018208,MISSING
10.1038/sdata2018234,MISSING
10.1038/sdata2018229,MISSING
10.1038/sdata2018239,MISSING
10.1038/sdata2018225,MISSING
10.1038/sdata2018217,MISSING
10.1038/sdata2018226,MISSING
10.1038/sdata2018230,MISSING
10.1038/sdata2018203,MISSING
10.1038/sdata2018231,MISSING
10.1038/sdata2018209,MISSING
10.1038/sdata2018233,MISSING
10.1038/sdata2018214,MISSING
10.1038/sdata2018228,MISSING
10.1038/sdata2018236,MISSING
10.1038/sdata2018238,MISSING
10.1038/sdata2018227,MISSING
10.1038/sdata2018206,MISSING
10.1038/sdata2018232,MISSING
10.1038/sdata2018213,MISSING
10.1038/sdata2018240,MISSING
10.1038/sdata2018220,MISSING
10.1038/sdata2018222,MISSING
10.1038/sdata2018244,MISSING
10.1038/sdata2018235,MISSING
10.1038/sdata2018245,MISSING
10.1038/sdata2018224,MISSING
10.1038/sdata2018246,MISSING
10.1038/sdata2018219,MISSING
10.1038/sdata2018256,MISSING
10.1038/sdata2018247,MISSING
10.1038/sdata2018242,MISSING
10.1038/sdata2018252,MISSING
10.1038/sdata2018254,MISSING
10.1038/sdata2018248,MISSING
10.1038/sdata2018241,MISSING
10.1038/sdata2018218,MISSING
10.1038/sdata2018250,MISSING
10.1038/sdata2018237,MISSING
10.1038/sdata2018262,MISSING
10.1038/sdata2018249,MISSING
10.1038/sdata2018255,MISSING
10.1038/sdata2018258,MISSING
10.1038/sdata2018251,MISSING
10.1038/sdata2018257,MISSING
10.1038/sdata2018259,MISSING
10.1038/sdata2018263,MISSING
10.1038/sdata2018264,MISSING
10.1038/sdata2018273,MISSING
10.1038/sdata2018269,MISSING
10.1038/sdata2018267,MISSING
10.1038/sdata2018268,MISSING
10.1038/sdata2018270,MISSING
10.1038/sdata2018266,MISSING
10.1038/sdata2018271,MISSING
10.1038/sdata2018260,MISSING
10.1038/sdata2018272,MISSING
10.1038/sdata2018276,MISSING
10.1038/sdata2018277,MISSING
10.1038/sdata2018275,MISSING
10.1038/sdata2018281,MISSING
10.1038/sdata2018279,MISSING
10.1038/sdata2018278,MISSING
10.1038/sdata2018287,MISSING
10.1038/sdata2018285,MISSING
10.1038/sdata2018291,MISSING
10.1038/sdata2018292,MISSING
10.1038/sdata2018274,MISSING
10.1038/sdata2018293,MISSING
10.1038/sdata2018283,MISSING
10.1038/sdata2018265,MISSING
10.1038/sdata2018290,MISSING
10.1038/sdata2018284,MISSING
10.1038/sdata2018243,MISSING
10.1038/sdata2018295,MISSING
10.1038/sdata2018282,MISSING
10.1038/sdata2018288,MISSING
10.1038/sdata2018289,MISSING
10.1038/sdata2018261,MISSING
10.1038/sdata2018294,MISSING
10.1038/sdata2018303,MISSING
10.1038/sdata2018298,MISSING
10.1038/sdata2018296,MISSING
10.1038/sdata2018306,MISSING
10.1038/sdata2018305,MISSING
10.1038/sdata2018297,MISSING
10.1038/sdata2018280,MISSING
10.1038/sdata2018299,MISSING
10.1038/sdata2018300,MISSING
10.1038/sdata2018309,MISSING
10.1038/sdata2018304,MISSING
10.1038/sdata2018301,MISSING
10.1038/sdata2018302,MISSING
10.1038/sdata2018310,MISSING
10.1038/sdata20193,MISSING
10.1038/sdata20191,MISSING
10.1038/sdata20194,MISSING
10.1038/sdata20192,MISSING
10.1038/sdata201910,MISSING
10.1038/sdata20199,MISSING
10.1038/sdata20197,MISSING
10.1038/sdata20195,MISSING
10.1038/sdata20196,MISSING
10.1038/sdata20198,MISSING
10.1038/sdata201914,MISSING
10.1038/sdata2018308,MISSING
10.1038/sdata201913,MISSING
10.1038/sdata201917,MISSING
10.1038/sdata2018307,MISSING
10.1038/sdata201912,MISSING
10.1038/sdata201911,MISSING
10.1038/sdata201922,MISSING
10.1038/sdata201916,MISSING
10.1038/sdata201919,MISSING
10.1038/sdata201921,MISSING
10.1038/sdata201915,MISSING
10.1038/sdata201918,MISSING
10.1038/sdata201920,MISSING
10.1038/sdata201923,MISSING
10.1038/sdata201924,MISSING
10.1038/sdata201926,MISSING
10.1038/sdata201932,MISSING
10.1038/sdata201925,MISSING
10.1038/sdata201934,MISSING
10.1038/sdata201930,MISSING
10.1038/sdata201929,MISSING
10.1038/sdata201928,MISSING
10.1038/sdata201927,MISSING
10.1038/sdata201931,MISSING
10.1038/sdata201940,MISSING
10.1038/sdata201939,MISSING
10.1038/sdata201933,MISSING
10.1038/sdata201936,MISSING
10.1038/sdata201938,MISSING
10.1038/sdata201935,MISSING
10.1038/sdata201937,MISSING
10.1038/s41597-019-0013-x,MISSING
10.1038/s41597-019-0014-9,MISSING
10.1038/s41597-019-0019-4,MISSING
10.1038/s41597-019-0012-y,MISSING
10.1038/s41597-019-0011-z,Custom codes are available from the corresponding authors on reasonable request.
10.1038/s41597-019-0017-6,MISSING
10.1038/s41597-019-0028-3,The LC-MS feature detection software (MassHunter®) used in this work is commercially available from Agilent®.
10.1038/s41597-019-0010-0,Data were processed with CrystFEL 0.6.3. CrystFEL 0.6.3 is a free open source software under the GNU Public License version 3 and can be downloaded from http://www.desy.de/~twhite/crystfel/. CASS is publicly available on GitLab ( https://gitlab.gwdg.de/p.lfoucar/cass ). The script used to optimize detector geometry is publicly available on GitHub ( https://github.com/tbarends/pygeom ).
10.1038/s41597-019-0024-7,MISSING
10.1038/s41597-019-0020-y,"The custom written code (shell scripts and MATLAB scripts to implement steps 1-to organize the data according to the BIDS standard is included in the data release. The data2bids MATLAB-function is part of FieldTrip, and is available from https://github.com/fieldtrip/fieldtrip , the bids-tools are available from https://github.com/robertoostenveld/bids-tools , the bids validator is available from https://github.com/bids-standard/bids-validator , and the DICOM to NIfTI converter is available from https://github.com/rordenlab/dcm2niix ."
10.1038/s41597-019-0030-9,MISSING
10.1038/s41597-019-0022-9,"A number of in-house scripts are commonly used for the processing of the raw FASTQ files before alignment as well as for correction of the CAGE specific sequencing bias mentioned above (and described in more detail in supplementary note 3-e of Carninci et al . 20 ). A brief description of these scripts follows: splitByBarcode is used to split multiplexed sequences into constituent sample FASTQ files and can be found in the MOIRAI system 29 ; rRNAdust removes all sequences that match to known rRNA sequences with two or fewer errors and is freely available through the FANTOM5 website ( http://fantom.gsc.riken.jp/5/suppl/rRNAdust/ ); starbam2gcorrectedctss is a shell script used to convert BAM files to CTSS bed files, correcting for any additional Gs at the 5′ end, and is available upon request."
10.1038/s41597-019-0027-4,"Readers can access tutorial and codes in our raw and pre-processed datasets at the figshare.com. Of them, a 59-page tutorial named “Tutorial Data Analysis for Multi-channel EEG Recordings during a Sustained-attention Driving Task.pdf” is provided for researchers to pre-process and analyse multi-channel EEG data acquired during a sustained-attention driving task. Furthermore, MATLAB codes named “Code-availability.zip” for EEG pre-processing and data analysis can also be found."
10.1038/s41597-019-0032-7,"Figures 1 , 3 and 4 are generated with R ( https://www.r-project.org/ ). The written codes to generate these figures are publically accessible via a fixed repository 25 . This repository contains both scripts and data files to allow users to fully comprehend the provided figures. The bathymetry raster used in Figs 1 and 3 are based on the EMODnet bathymetry maps 26 ."
10.1038/s41597-019-0021-x,MISSING
10.1038/s41597-019-0015-8,"A custom code was written in perl programming language to parse and filter the phosphoproteomics data automatically, presented in this study. The code is provided as supplementary material (Supplementary File 1 )."
10.1038/s41597-019-0031-8,MISSING
