DOI,Date,Kind,Title,Authors,Image URL
10.1038/sdata201411,2014-06-10,Data Descriptor,Genomes and phenomes of a population of outbred rats and its progenitors,Amelie Baud | Victor Guryev | Jonathan Flint,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.11/MediaObjects/41597_2014_Article_BFsdata201411_Fig1_HTML.jpg
10.1038/sdata201415,2014-06-24,Data Descriptor,Tree of Sex: A database of sexual systems,Tia-Lynn Ashman | Doris Bachtrog | Jana C Vamosi,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.15/MediaObjects/41597_2014_Article_BFsdata201415_Fig1_HTML.jpg
10.1038/sdata201413,2014-06-24,Data Descriptor,"Comprehensive RNA-Seq transcriptomic profiling across 11 organs, 4 ages, and 2 sexes of Fischer 344 rats",Ying Yu | Chen Zhao | Leming Shi,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.13/MediaObjects/41597_2014_Article_BFsdata201413_Fig1_HTML.jpg
10.1038/sdata201417,2014-07-08,Data Descriptor,Genome-wide functional genomic and transcriptomic analyses for genes regulating sensitivity to vorinostat,Katrina J Falkenberg | Cathryn M Gould | Kaylene J Simpson,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.17/MediaObjects/41597_2014_Article_BFsdata201417_Fig1_HTML.jpg
10.1038/sdata201418,2014-07-08,Data Descriptor,The Clodia database: a long time series of fishery data from the Adriatic Sea,Carlotta Mazzoldi | Andrea Sambo | Emilio Riginella,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.18/MediaObjects/41597_2014_Article_BFsdata201418_Fig1_HTML.jpg
10.1038/sdata201419,2014-07-22,Data Descriptor,Life history profiles for 27 strepsirrhine primate taxa generated using captive data from the Duke Lemur Center,Sarah M Zehr | Richard G Roach | Anne D Yoder,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.19/MediaObjects/41597_2014_Article_BFsdata201419_Fig1_HTML.jpg
10.1038/sdata201414,2014-07-22,Data Descriptor,Transcriptomic analysis of midbrain and individual hindbrain rhombomeres in the chick embryo,Leigh Wilson | David Chambers,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.14/MediaObjects/41597_2014_Article_BFsdata201414_Fig1_HTML.jpg
10.1038/sdata201423,2014-08-05,Data Descriptor,Comprehensive analysis of the venom gland transcriptome of the spider Dolomedes fimbriatus,Sergey A. Kozlov | Vassili N. Lazarev | Eugene V. Grishin,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.23/MediaObjects/41597_2014_Article_BFsdata201423_Fig1_HTML.jpg
10.1038/sdata201424,2014-08-05,Data Descriptor,A draft genome for the African crocodilian trypanosome Trypanosoma grayi,Steven Kelly | Alasdair Ivens | Mark C. Field,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.24/MediaObjects/41597_2014_Article_BFsdata201424_Fig1_HTML.jpg
10.1038/sdata201431,2014-09-16,Data Descriptor,"A repository of assays to quantify 10,000 human proteins by SWATH-MS",George Rosenberger | Ching Chiek Koh | Ruedi Aebersold,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.31/MediaObjects/41597_2014_Article_BFsdata201431_Fig1_HTML.jpg
10.1038/sdata201429,2014-09-16,Data Descriptor,Metabolic differences in ripening of Solanum lycopersicum ‘Ailsa Craig’ and three monogenic mutants,Stephan Beisken | Mark Earll | Christoph Steinbeck,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.29/MediaObjects/41597_2014_Article_BFsdata201429_Fig1_HTML.jpg
10.1038/sdata201436,2014-09-30,Data Descriptor,"Global database of leishmaniasis occurrence locations, 1960–2012",David M Pigott | Nick Golding | Simon I Hay,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.36/MediaObjects/41597_2014_Article_BFsdata201436_Fig1_HTML.jpg
10.1038/sdata201435,2014-09-30,Data Descriptor,Parallel genome-scale loss of function screens in 216 cancer cell lines for the identification of context-specific genetic dependencies,Glenn S Cowley | Barbara A Weir | William C Hahn,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.35/MediaObjects/41597_2014_Article_BFsdata201435_Fig1_HTML.jpg
10.1038/sdata201434,2014-09-30,Data Descriptor,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Steven J. Biller | Paul M. Berube | Sallie W. Chisholm,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.34/MediaObjects/41597_2014_Article_BFsdata201434_Fig1_HTML.jpg
10.1038/sdata201433,2014-10-14,Data Descriptor,A comprehensive collection of systems biology data characterizing the host response to viral infection,Brian D. Aevermann | Brett E. Pickett | Richard H. Scheuermann,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.33/MediaObjects/41597_2014_Article_BFsdata201433_Fig1_HTML.jpg
10.1038/sdata201437,2014-10-14,Data Descriptor,Reliability of brain volume measurements: A test-retest dataset,Julian Maclaren | Zhaoying Han | Roland Bammer,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.37/MediaObjects/41597_2014_Article_BFsdata201437_Fig1_HTML.jpg
10.1038/sdata201440,2014-10-14,Data Descriptor,Scrutinizing the datasets obtained from nanoscale features of spider silk fibres,Luciano P Silva | Elibio L Rech,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.40/MediaObjects/41597_2014_Article_BFsdata201440_Fig1_HTML.jpg
10.1038/sdata201442,2014-10-23,Data Descriptor,A comprehensive database of the geographic spread of past human Ebola outbreaks,Adrian Mylne | Oliver J. Brady | Simon I. Hay,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.42/MediaObjects/41597_2014_Article_BFsdata201442_Fig1_HTML.jpg
10.1038/sdata201439,2014-10-28,Data Descriptor,Flow-dependent regulation of genome-wide mRNA and microRNA expression in endothelial cells in vivo,Sandeep Kumar | Chan Woo Kim | Hanjoong Jo,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.39/MediaObjects/41597_2014_Article_BFsdata201439_Fig1_HTML.jpg
10.1038/sdata201443,2014-11-11,Data Descriptor,A time-indexed reference standard of adverse drug reactions,Rave Harpaz | David Odgers | Nigam H. Shah,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.43/MediaObjects/41597_2014_Article_BFsdata201443_Fig1_HTML.jpg
10.1038/sdata201438,2014-11-11,Data Descriptor,DNA methylation temporal profiling following peripheral versus central nervous system axotomy,Ricco Lindner | Radhika Puttagunta | Simone Di Giovanni,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.38/MediaObjects/41597_2014_Article_BFsdata201438_Fig1_HTML.jpg
10.1038/sdata201447,2014-11-25,Data Descriptor,"Multi-channel EEG recordings during 3,936 grasp and lift trials with varying weight and friction",Matthew D Luciw | Ewa Jarocka | Benoni B Edin,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.47/MediaObjects/41597_2014_Article_BFsdata201447_Fig1_HTML.jpg
10.1038/sdata201445,2014-11-25,Data Descriptor,"Long-read, whole-genome shotgun sequence data for five model organisms",Kristi E Kim | Paul Peluso | Jane M Landolin,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.45/MediaObjects/41597_2014_Article_BFsdata201445_Fig1_HTML.jpg
10.1038/sdata201441,2014-11-25,Data Descriptor,Simplified data access on human skeletal muscle transcriptome responses to differentiated exercise,Kristian Vissing | Peter Schjerling,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.41/MediaObjects/41597_2014_Article_BFsdata201441_Fig1_HTML.jpg
10.1038/sdata201448,2014-12-09,Data Descriptor,"Concentrations and ratios of particulate organic carbon, nitrogen, and phosphorus in the global ocean",Adam C Martiny | Jasper A Vrugt | Michael W Lomas,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.48/MediaObjects/41597_2014_Article_BFsdata201448_Fig1_HTML.jpg
10.1038/sdata201449,2014-12-09,Data Descriptor,An open science resource for establishing reliability and reproducibility in functional connectomics,Xi-Nian Zuo | Jeffrey S Anderson | Michael P Milham,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.49/MediaObjects/41597_2014_Article_BFsdata201449_Fig1_HTML.jpg
10.1038/sdata201450,2014-12-09,Data Descriptor,Multi-modal ultra-high resolution structural 7-Tesla MRI data repository,Birte U Forstmann | Max C Keuken | Robert Turner,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.50/MediaObjects/41597_2014_Article_BFsdata201450_Fig1_HTML.jpg
10.1038/sdata201453,2014-12-23,Data Descriptor,Electromyography data for non-invasive naturally-controlled robotic hand prostheses,Manfredo Atzori | Arjan Gijsberts | Henning Müller,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.53/MediaObjects/41597_2014_Article_BFsdata201453_Fig1_HTML.jpg
10.1038/sdata201451,2014-12-23,Data Descriptor,Assessment of lipidomic species in hepatocyte lipid droplets from stressed mouse models,Jürgen Hartler | Harald C Köfeler | Friedrich Spener,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.51/MediaObjects/41597_2014_Article_BFsdata201451_Fig1_HTML.jpg
10.1038/sdata201452,2014-12-23,Data Descriptor,A reanalysis dataset of the South China Sea,Xuezhi Zeng | Shiqiu Peng | Rongyu Chen,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.52/MediaObjects/41597_2014_Article_BFsdata201452_Fig1_HTML.jpg
10.1038/sdata201446,2014-12-23,Data Descriptor,Synaptic molecular imaging in spared and deprived columns of mouse barrel cortex with array tomography,Nicholas C Weiler | Forrest Collman | Stephen J Smith,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.46/MediaObjects/41597_2014_Article_BFsdata201446_Fig1_HTML.jpg
10.1038/sdata201456,2015-01-06,Data Descriptor,The multilayer temporal network of public transport in Great Britain,Riccardo Gallotti | Marc Barthelemy,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.56/MediaObjects/41597_2015_Article_BFsdata201456_Fig1_HTML.jpg
10.1038/sdata201454,2015-01-20,Data Descriptor,A high resolution 7-Tesla resting-state fMRI test-retest dataset with cognitive and physiological measures,Krzysztof J Gorgolewski | Natacha Mendes | Daniel S Margulies,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.54/MediaObjects/41597_2015_Article_BFsdata201454_Fig1_HTML.jpg
10.1038/sdata20151,2015-01-20,Data Descriptor,"A multi-subject, multi-modal human neuroimaging dataset",Daniel G Wakeman | Richard N Henson,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.1/MediaObjects/41597_2015_Article_BFsdata20151_Fig1_HTML.jpg
10.1038/sdata20152,2015-02-03,Data Descriptor,Human olfactory receptor responses to odorants,Joel D Mainland | Yun R Li | Hiroaki Matsunami,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.2/MediaObjects/41597_2015_Article_BFsdata20152_Fig1_HTML.jpg
10.1038/sdata20153,2015-02-03,Data Descriptor,The pediatric template of brain perfusion,Brian B Avants | Jeffrey T Duda | Danny J J Wang,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.3/MediaObjects/41597_2015_Article_BFsdata20153_Fig1_HTML.jpg
10.1038/sdata20156,2015-03-03,Data Descriptor,Allometry and growth of eight tree taxa in United Kingdom woodlands,Matthew R Evans | Aristides Moustakas | Stefanie Schäfer,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.6/MediaObjects/41597_2015_Article_BFsdata20156_Fig1_HTML.jpg
10.1038/sdata20155,2015-03-03,Data Descriptor,High-resolution gene expression data from blastoderm embryos of the scuttle fly Megaselia abdita,Karl R Wotton | Eva Jiménez-Guri | Johannes Jaeger,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.5/MediaObjects/41597_2015_Article_BFsdata20155_Fig1_HTML.jpg
10.1038/sdata20158,2015-03-17,Data Descriptor,A global database of lake surface temperatures collected by in situ and satellite methods from 1985–2009,Sapna Sharma | Derek K Gray | Kara H Woo,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.8/MediaObjects/41597_2015_Article_BFsdata20158_Fig1_HTML.jpg
10.1038/sdata20159,2015-03-17,Data Descriptor,Charting the complete elastic properties of inorganic crystalline compounds,Maarten de Jong | Wei Chen | Mark Asta,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.9/MediaObjects/41597_2015_Article_BFsdata20159_Fig1_HTML.jpg
10.1038/sdata201511,2015-03-25,Data Descriptor,Sequence variants from whole genome sequencing a large group of Icelanders,Daniel F Gudbjartsson | Patrick Sulem | Kari Stefansson,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.11/MediaObjects/41597_2015_Article_BFsdata201511_Fig1_HTML.jpg
10.1038/sdata201513,2015-03-31,Data Descriptor,"A summary of eight traits of Coleoptera, Hemiptera, Orthoptera and Araneae, occurring in grasslands in Germany",Martin M Gossner | Nadja K Simons | Wolfgang W Weisser,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.13/MediaObjects/41597_2015_Article_BFsdata201513_Fig1_HTML.jpg
10.1038/sdata20157,2015-03-31,Data Descriptor,"The UK-DALE dataset, domestic appliance-level electricity demand and whole-house demand from five UK homes",Jack Kelly | William Knottenbelt,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.7/MediaObjects/41597_2015_Article_BFsdata20157_Fig1_HTML.jpg
10.1038/sdata201510,2015-03-31,Data Descriptor,A comprehensive map of genome-wide gene regulation in Mycobacterium tuberculosis,Serdar Turkarslan | Eliza J R Peterson | Nitin S Baliga,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.10/MediaObjects/41597_2015_Article_BFsdata201510_Fig1_HTML.jpg
10.1038/sdata201514,2015-04-14,Data Descriptor,Sequence data for Clostridium autoethanogenum using three generations of sequencing technologies,Sagar M Utturkar | Dawn M Klingeman | Steven D Brown,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.14/MediaObjects/41597_2015_Article_BFsdata201514_Fig1_HTML.jpg
10.1038/sdata201516,2015-04-14,Data Descriptor,A global compendium of human Crimean-Congo haemorrhagic fever virus occurrence,Jane P Messina | David M Pigott | Simon I Hay,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.16/MediaObjects/41597_2015_Article_BFsdata201516_Fig1_HTML.jpg
10.1038/sdata201517,2015-04-28,Data Descriptor,The Icelandic 16-electrode electrohysterogram database,Asgeir Alexandersson | Thora Steingrimsdottir | Brynjar Karlsson,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.17/MediaObjects/41597_2015_Article_BFsdata201517_Fig1_HTML.jpg
10.1038/sdata201515,2015-04-28,Data Descriptor,De novo transcriptome assembly databases for the central nervous system of the medicinal leech,Dror Hibsh | Hadas Schori | Orit Shefi,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.15/MediaObjects/41597_2015_Article_BFsdata201515_Fig1_HTML.jpg
10.1038/sdata201521,2015-05-12,Data Descriptor,A user-friendly database of coastal flooding in the United Kingdom from 1915–2014,Ivan D. Haigh | Matthew P. Wadey | Elizabeth Bradshaw,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.21/MediaObjects/41597_2015_Article_BFsdata201521_Fig1_HTML.jpg
10.1038/sdata201518,2015-05-12,Data Descriptor,"Long-term observation of amphibian populations inhabiting urban and forested areas in Yekaterinburg, Russia",Vladimir L. Vershinin | Svetlana D. Vershinina | Alexander V. Kinev,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.18/MediaObjects/41597_2015_Article_BFsdata201518_Fig1_HTML.jpg
10.1038/sdata201520,2015-05-12,Data Descriptor,Genome-wide RNAi screen for synthetic lethal interactions with the C. elegans kinesin-5 homolog BMK-1,André F. Maia | Marvin E. Tanenbaum | René H. Medema,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.20/MediaObjects/41597_2015_Article_BFsdata201520_Fig1_HTML.jpg
10.1038/sdata201527,2015-05-26,Data Descriptor,An archive of longitudinal recordings of the vocalizations of adult Gombe chimpanzees,Frans X. Plooij | Hetty van de Rijt-Plooij | Anne Pusey,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.27/MediaObjects/41597_2015_Article_BFsdata201527_Fig1_HTML.jpg
10.1038/sdata201523,2015-05-26,Data Descriptor,Open science resources for the discovery and analysis of Tara Oceans data,Stéphane Pesant | Fabrice Not | Patrick Wincker,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.23/MediaObjects/41597_2015_Article_BFsdata201523_Fig1_HTML.jpg
10.1038/sdata201519,2015-05-26,Data Descriptor,A review of epidemiological parameters from Ebola outbreaks to inform early public health decision-making,Maria D. Van Kerkhove | Ana I. Bento | Christl A. Donnelly,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.19/MediaObjects/41597_2015_Article_BFsdata201519_Fig1_HTML.jpg
10.1038/sdata201524,2015-05-26,Data Descriptor,A database for the monitoring of thermal anomalies over the Amazon forest and adjacent intertropical oceans,Juan C. Jiménez-Muñoz | Cristian Mattar | Yadvinder Malhi,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.24/MediaObjects/41597_2015_Article_BFsdata201524_Fig1_HTML.jpg
10.1038/sdata201525,2015-06-09,Data Descriptor,Global database of paleocurrent trends through the Phanerozoic and Precambrian,Leonard Brand | Mingmin Wang | Arthur Chadwick,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.25/MediaObjects/41597_2015_Article_BFsdata201525_Fig1_HTML.jpg
10.1038/sdata201526,2015-06-09,Data Descriptor,"Snapshot Serengeti, high-frequency annotated camera trap images of 40 mammalian species in an African savanna",Alexandra Swanson | Margaret Kosmala | Craig Packer,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.26/MediaObjects/41597_2015_Article_BFsdata201526_Fig1_HTML.jpg
10.1038/sdata201528,2015-06-09,Data Descriptor,A daily global mesoscale ocean eddy dataset from satellite altimetry,James H. Faghmous | Ivy Frenger | Vipin Kumar,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.28/MediaObjects/41597_2015_Article_BFsdata201528_Fig1_HTML.jpg
10.1038/sdata201529,2015-06-23,Data Descriptor,A TEX86 surface sediment database and extended Bayesian calibration,Jessica E Tierney | Martin P Tingley,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.29/MediaObjects/41597_2015_Article_BFsdata201529_Fig1_HTML.jpg
10.1038/sdata201522,2015-06-23,Data Descriptor,Proteomic analysis of colon and rectal carcinoma using standard and customized databases,Robbert J.C. Slebos | Xia Wang | Daniel C. Liebler,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.22/MediaObjects/41597_2015_Article_BFsdata201522_Fig1_HTML.jpg
10.1038/sdata201530,2015-06-23,Data Descriptor,"Comparative, transcriptome analysis of self-organizing optic tissues",Munazah Andrabi | Shigehiro Kuraku | Nick R. Love,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.30/MediaObjects/41597_2015_Article_BFsdata201530_Fig1_HTML.jpg
10.1038/sdata201533,2015-07-07,Data Descriptor,High resolution multi-facies realizations of sedimentary reservoir and aquifer analogs,Peter Bayer | Alessandro Comunian | Gregoire Mariethoz,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.33/MediaObjects/41597_2015_Article_BFsdata201533_Fig1_HTML.jpg
10.1038/sdata201531,2015-07-07,Data Descriptor,"Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures",Avram J. Holmes | Marisa O. Hollinshead | Randy L. Buckner,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.31/MediaObjects/41597_2015_Article_BFsdata201531_Fig1_HTML.jpg
10.1038/sdata201535,2015-07-07,Data Descriptor,The global compendium of Aedes aegypti and Ae. albopictus occurrence,Moritz U. G. Kraemer | Marianne E. Sinka | Simon I. Hay,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.35/MediaObjects/41597_2015_Article_BFsdata201535_Fig1_HTML.jpg
10.1038/sdata201532,2015-07-07,Data Descriptor,A large-scale crop protection bioassay data set,Anna Gaulton | Namrata Kale | John P. Overington,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.32/MediaObjects/41597_2015_Article_BFsdata201532_Fig1_HTML.jpg
10.1038/sdata201536,2015-07-21,Data Descriptor,Impacts of elevated atmospheric CO2 on nutrient content of important food crops,Lee H. Dietterich | Antonella Zanobetti | Samuel S. Myers,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.36/MediaObjects/41597_2015_Article_BFsdata201536_Fig1_HTML.jpg
10.1038/sdata201538,2015-07-21,Data Descriptor,Lilac and honeysuckle phenology data 1956–2014,Alyssa H. Rosemartin | Ellen G. Denny | Mark D. Schwartz,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.38/MediaObjects/41597_2015_Article_BFsdata201538_Fig1_HTML.jpg
10.1038/sdata201540,2015-08-04,Data Descriptor,"Field data sets for seagrass biophysical properties for the Eastern Banks, Moreton Bay, Australia, 2004–2014",Chris M. Roelfsema | Eva M. Kovacs | Stuart R. Phinn,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.40/MediaObjects/41597_2015_Article_BFsdata201540_Fig1_HTML.jpg
10.1038/sdata201512,2015-08-18,Data Descriptor,Global database of matched Plasmodium falciparum and P. vivax incidence and prevalence records from 1985–2013,Katherine E. Battle | Carlos A. Guerra | Simon I. Hay,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.12/MediaObjects/41597_2015_Article_BFsdata201512_Fig1_HTML.jpg
10.1038/sdata201541,2015-08-18,Data Descriptor,The Pacific Northwest National Laboratory library of bacterial and archaeal proteomic biodiversity,Samuel H. Payne | Matthew E. Monroe | Richard D. Smith,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.41/MediaObjects/41597_2015_Article_BFsdata201541_Fig1_HTML.jpg
10.1038/sdata201542,2015-08-18,Data Descriptor,"A spatially comprehensive, hydrometeorological data set for Mexico, the U.S., and Southern Canada 1950–2013",Ben Livneh | Theodore J. Bohn | Levi Brekke,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.42/MediaObjects/41597_2015_Article_BFsdata201542_Fig1_HTML.jpg
10.1038/sdata201544,2015-09-01,Data Descriptor,A multimodal MRI dataset of professional chess players,Kaiming Li | Jing Jiang | Qiyong Gong,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.44/MediaObjects/41597_2015_Article_BFsdata201544_Fig1_HTML.jpg
10.1038/sdata201546,2015-09-01,Data Descriptor,A resource from 3D electron microscopy of hippocampal neuropil for user training and tool development,Kristen M. Harris | Josef Spacek | Randal Burns,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.46/MediaObjects/41597_2015_Article_BFsdata201546_Fig1_HTML.jpg
10.1038/sdata201545,2015-09-01,Data Descriptor,"High-resolution gridded population datasets for Latin America and the Caribbean in 2010, 2015, and 2020",Alessandro Sorichetta | Graeme M. Hornby | Andrew J. Tatem,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2015.45/MediaObjects/41597_2015_Article_BFsdata201545_Fig1_HTML.jpg
